"","gallstone_status","age","gender","comorbidity","coronary_artery_disease_cad","hypothyroidism","hyperlipidemia","diabetes_mellitus_dm","height","weight","body_mass_index_bmi","total_body_water_tbw","extracellular_water_ecw","intracellular_water_icw","extracellular_fluid_total_body_water_ecf_tbw","total_body_fat_ratio_tbfr_percent","lean_mass_lm_percent","body_protein_content_protein_percent","visceral_fat_rating_vfr","bone_mass_bm","muscle_mass_mm","obesity_percent","total_fat_content_tfc","visceral_fat_area_vfa","visceral_muscle_area_vma_kg","hepatic_fat_accumulation_hfa","glucose","total_cholesterol_tc","low_density_lipoprotein_ldl","high_density_lipoprotein_hdl","triglyceride","aspartat_aminotransferaz_ast","alanin_aminotransferaz_alt","alkaline_phosphatase_alp","creatinine","glomerular_filtration_rate_gfr","c_reactive_protein_crp","hemoglobin_hgb","vitamin_d"
"gallstone_status",1,0.0363389265523561,0.153483252558114,-0.0485158658263384,-0.0969983395676009,-0.0551962241661356,0.161900874104928,0.104689336838891,-0.107919226548553,0.0486686505210984,0.121507205233228,-0.111232756735865,-0.178436433533417,-0.0352744573302803,-0.169825837136027,0.225470149430565,-0.225749243441581,-0.0864243088737342,0.0182884453848831,-0.216569580023466,-0.0932973812676412,0.0539199552117433,0.170157881711096,0.140396759141895,-0.0729893188819652,0.0902677452078829,-0.0114980183339339,0.0141000460542743,-0.0564687480599915,0.158621815474635,-0.0508346493187436,-0.134910207662668,-0.0419369166514352,0.109882144647716,-0.132283356397391,-0.028275773543924,0.281994854931243,-0.196872457235418,-0.35487286971053
"age",0.0363389265523561,1,0.0861441499480901,0.325446852423653,0.129635954082845,0.00528932400389608,0.0156603538854591,0.279301930571849,-0.307407232635316,0.0405791503272096,0.235835013326239,-0.0832626898536384,0.00802362907599093,-0.198591513513878,0.326684923037208,0.243447893127926,-0.243380721422506,0.0290397516033081,0.531990810315899,-0.0806661888924508,-0.101156772487802,0.04547256196071,0.195508108719721,0.146932210581131,-0.056233430356635,0.167793036557746,0.148504260878763,0.159004882702771,0.116586604682282,0.103680531882046,0.058043251224046,-0.0569295328329741,-0.0601625678448004,0.121376404295854,0.106189722052615,-0.555640123432952,-0.00282617261524624,-0.121711031974126,0.0575987034696627
"gender",0.153483252558114,0.0861441499480901,1,-0.0323083991594718,-0.0957662738568263,0.135211704922396,0.162919279226288,-0.0764367076969652,-0.725666599378193,-0.336012464487714,0.125153570462104,-0.740204319481555,-0.698903173684065,-0.733073329576863,0.228834743073369,0.620923247934208,-0.623558968008137,-0.357414242810111,-0.328040987652291,-0.664633408029644,-0.742791727023923,0.0821909578340212,0.290961673630057,-0.089009656391267,-0.640870747933451,-0.0985644416482138,-0.10441112708998,0.0794986750347989,-0.00707506663285836,0.370332558946398,-0.209787345215391,-0.228503801492788,-0.31055124891201,0.0226813608212799,-0.631499359514273,0.0240716522192584,0.104153913379017,-0.688754129450717,-0.0993078725270584
"comorbidity",-0.0485158658263384,0.325446852423653,-0.0323083991594718,1,0.381960660077914,0.219225642601198,0.206355354753923,0.525615566519941,-0.0736282270133822,0.0795386334168058,0.12874765442312,0.0381778295703122,0.113012821752432,-0.0358956839957763,0.222294158143453,0.0997942083541162,-0.0935752507129407,-0.0181269716278554,0.253402312328903,0.078122563823003,0.0362197525860092,0.0950223862034244,0.111799079093161,0.0917392900621605,0.0305895858934973,0.188800655743102,0.248474707796583,0.0875412127651619,0.0836200361053812,-0.102533839582287,0.172305547210635,-0.0456098845460512,-0.0217053202047219,-0.0736632328695825,0.0366776344999206,-0.192766732552389,-0.0512178282989393,-0.00460540745677818,0.0742955689185624
"coronary_artery_disease_cad",-0.0969983395676009,0.129635954082845,-0.0957662738568263,0.381960660077914,1,-0.0336869617232536,-0.0317092692921399,0.0184506321786028,0.0510801712944113,0.0709271341370848,0.0350127185486641,0.0633543259267577,0.0915713979764339,0.0348153256398967,0.0741824124907443,0.0236061954881505,-0.0141572135756438,0.00420034095303314,0.125915832946038,0.0861726270456006,0.0649291802984813,-0.00244839759416805,0.039755387668006,0.0750750030181071,0.0585879683591003,0.0341856783170305,0.118010024820196,-0.111411327878325,-0.0855566600730812,-0.0714369221416513,0.0279743191732497,-0.0259114143753249,-0.0232389695086547,-0.0391366320975476,0.038595815569416,-0.0364099019732346,-0.0399713928375594,0.0137695280478596,-0.0281823693305515
"hypothyroidism",-0.0551962241661356,0.00528932400389608,0.135211704922396,0.219225642601198,-0.0336869617232536,1,-0.0273278337384511,-0.0118172940506581,-0.0705631672050852,-0.00468824007125271,0.0467682149710677,-0.0571227641657996,-0.046419771290448,-0.063132427883832,0.0340822452077946,0.0795241412748343,-0.0780806086339051,-0.0331301824262545,-0.0424767457411475,-0.0829841441582327,-0.0517816457906431,-0.00280648018444938,0.0509393022957918,-0.0101053729597209,-0.0392413219690617,0.0115603528799914,0.013445538750206,0.0569959817158667,0.00301531729844782,0.00826168502988068,0.0461880888712096,-0.0206276983468055,-0.0310781553871771,0.00547903502830179,-0.0822710093050458,0.00174281706451161,0.0814599680483569,-0.146965377626057,0.057858665779311
"hyperlipidemia",0.161900874104928,0.0156603538854591,0.162919279226288,0.206355354753923,-0.0317092692921399,-0.0273278337384511,1,-0.00460072263726926,-0.106368050144112,-0.0315965145953441,0.0388581284414977,-0.105591620873854,-0.0474343557624532,-0.132038878422913,0.1627907164186,0.141720964467109,-0.140231124759437,-0.114819035369334,-0.039983023118112,-0.0916879336296842,-0.107338787099899,0.00181028334344025,0.098224302779033,0.0100250337463538,-0.118602319869954,0.0909226772533585,-0.0275391373339623,0.104894099503126,0.108773477034537,0.0670832708492683,-0.024614886635564,-0.0474761405841248,-0.0574976913587155,-0.00905149002856017,-0.151922894472206,0.0544943447116747,-0.0181932957151721,-0.182561432481614,0.0283416574548924
"diabetes_mellitus_dm",0.104689336838891,0.279301930571849,-0.0764367076969652,0.525615566519941,0.0184506321786028,-0.0118172940506581,-0.00460072263726926,1,-0.0811548635658594,0.0897247457715402,0.144443742509089,0.0688939860539977,0.104503378717937,0.0142946261526321,0.112956825342552,0.0627501431711616,-0.0550306187384611,-0.0252758673554221,0.292057058859154,0.0804566813895333,0.0551939679670698,0.164420012670883,0.110358023179189,0.125796201806772,-0.0108174088298463,0.238951981558295,0.44266292544763,0.0535855651582679,0.0343381124400779,-0.107639488482259,0.208226406570775,-0.0734796518866471,-0.038839577119726,0.0270556780437279,0.0168685029002573,-0.137199523916196,-0.0246460765257551,0.0617028443270906,0.0327302066293274
"height",-0.107919226548553,-0.307407232635316,-0.725666599378193,-0.0736282270133822,0.0510801712944113,-0.0705631672050852,-0.106368050144112,-0.0811548635658594,1,0.411769384354686,-0.219450929713278,0.713265169573363,0.61082569070856,0.739121391344682,-0.404556504732161,-0.528786690292029,0.531643020015217,0.41925499093667,0.0802200857182013,0.66076474583931,0.765607902791968,-0.133613907734485,-0.204243878160077,0.124302240238019,0.711150281021483,0.0423712747406913,0.0300663142621746,-0.0270246479203168,0.0123591562722172,-0.312972141746901,0.236024572309876,0.17551065311041,0.248800185190227,-0.0679622752274749,0.474618248476537,0.0907860200264125,-0.101731775213003,0.60194946338839,0.00287250420039446
"weight",0.0486686505210984,0.0405791503272096,-0.336012464487714,0.0795386334168058,0.0709271341370848,-0.00468824007125271,-0.0315965145953441,0.0897247457715402,0.411769384354686,1,0.790874698005774,0.766921006318438,0.789365033108911,0.686426633847108,-0.0556366557566183,0.374816764380827,-0.370677942225958,-0.255477688939476,0.763458029666439,0.682284114714276,0.772424360361456,0.0875562680992645,0.717435075351507,0.881509144603469,0.714208930379288,0.559008764883499,0.139238970651588,-0.00579083347493089,-0.023250460544007,-0.250388888842881,0.311733846600451,0.13356817242009,0.227678492168769,0.0847052710414666,0.175979973664225,-0.0435291196115646,0.0498458805602971,0.304154099253394,-0.0859849135348366
